iter	Passed	Remaining
477	637	696
478	638	694
479	638	692
480	639	690
481	640	688
482	641	686
483	642	684
484	643	683
485	644	681
486	645	680
487	646	678
488	647	676
489	648	674
490	649	672
491	649	671
492	650	669
493	651	667
494	652	665
495	653	663
496	653	661
497	654	659
498	655	657
499	656	656
500	657	654
501	658	653
502	660	652
503	661	650
504	662	649
505	663	647
506	664	645
507	665	644
508	666	642
509	666	640
510	667	638
511	668	636
512	668	634
513	669	633
514	670	631
515	671	629
516	672	628
517	674	627
518	675	626
519	676	624
520	677	623
521	678	621
522	679	619
523	680	618
524	681	616
525	681	614
526	682	612
527	683	610
528	684	609
529	684	607
530	685	605
531	686	604
532	688	603
533	689	601
534	691	600
535	692	599
536	693	597
537	693	595
538	694	594
539	695	592
540	696	590
541	697	589
542	698	587
543	698	585
544	699	583
545	700	582
546	700	580
547	702	579
548	703	578
549	705	576
550	706	575
551	707	573
552	707	572
553	708	570
554	710	569
555	711	567
556	711	566
557	712	564
558	713	562
559	713	560
560	714	559
561	715	557
562	716	555
563	717	554
564	718	553
565	720	552
566	721	550
567	721	549
568	722	547
569	723	545
570	724	544
571	725	542
572	726	541
573	726	539
574	727	537
575	728	536
576	729	534
577	729	532
578	730	531
579	731	529
580	733	528
581	734	527
582	735	526
583	736	524
584	737	523
585	738	521
586	739	520
587	740	518
588	741	517
589	742	515
590	743	514
591	743	512
592	744	510
593	745	509
594	745	507
595	746	506
596	748	505
597	749	504
598	751	502
599	752	501
600	753	500
601	753	498
602	755	497
603	756	495
604	757	494
605	757	492
606	758	490
607	758	489
608	759	487
609	760	486
610	761	484
611	762	483
612	764	482
613	765	481
614	766	479
615	768	478
616	768	477
617	769	475
618	770	474
619	771	472
620	772	471
621	772	469
622	773	468
623	774	466
624	775	465
625	776	463
626	777	462
627	778	461
628	780	460
629	781	459
630	782	457
631	783	456
632	784	454
633	784	453
634	785	451
635	786	450
636	787	448
637	788	447
638	788	445
639	789	444
640	790	442
641	790	441
642	791	439
643	793	438
644	794	437
645	795	436
646	797	434
647	797	433
648	798	431
649	799	430
650	800	429
651	801	427
652	802	426
653	802	424
654	803	423
655	804	421
656	804	420
657	805	418
658	806	417
659	807	416
660	809	414
661	810	413
662	812	412
663	813	411
664	813	410
665	814	408
666	815	407
667	816	405
668	817	404
669	817	402
670	818	401
671	819	400
672	820	398
673	821	397
674	821	395
675	823	394
676	825	393
677	826	392
678	827	391
679	828	389
680	829	388
681	830	387
682	831	385
683	832	384
684	833	383
685	833	381
686	834	380
687	835	378
688	836	377
689	837	376
690	838	375
691	839	373
692	840	372
693	841	370
694	842	369
695	842	368
696	843	366
697	844	365
698	845	364
699	846	362
700	847	361
701	847	359
702	848	358
703	849	357
704	850	355
705	851	354
706	852	353
707	853	352
708	854	350
709	855	349
710	856	348
711	857	346
712	858	345
713	858	344
714	859	342
715	860	341
716	861	339
717	861	338
718	862	337
719	863	335
720	864	334
721	864	332
722	865	331
723	866	330
724	867	328
725	867	327
726	869	326
727	870	325
728	871	324
729	872	322
730	873	321
731	874	320
732	875	318
733	875	317
734	876	316
735	877	314
736	878	313
737	879	312
738	879	310
739	880	309
740	881	308
741	882	306
742	883	305
743	884	304
744	886	303
745	887	302
746	888	300
747	888	299
748	890	298
749	890	296
750	891	295
751	892	294
752	893	293
753	894	291
754	895	290
755	896	289
756	897	288
757	898	286
758	899	285
759	902	284
760	903	283
761	904	282
762	905	281
763	906	279
764	907	278
765	907	277
766	908	276
767	909	274
768	910	273
769	911	272
770	911	270
771	912	269
772	913	268
773	914	267
774	916	266
775	917	264
776	918	263
777	919	262
778	920	261
779	921	259
780	922	258
781	923	257
782	924	256
783	924	254
784	925	253
785	926	252
786	927	250
787	927	249
788	928	248
789	930	247
790	931	246
791	932	244
792	933	243
793	934	242
794	935	241
795	936	239
796	937	238
797	937	237
798	938	236
799	939	234
800	940	233
801	941	232
802	941	231
803	942	229
804	943	228
805	944	227
806	945	226
807	946	224
808	948	223
809	949	222
810	949	221
811	950	220
812	951	218
813	952	217
814	953	216
815	954	215
816	955	213
817	956	212
818	956	211
819	957	210
820	958	208
821	959	207
822	961	206
823	962	205
824	963	204
825	964	203
826	965	201
827	966	200
828	966	199
829	967	198
830	968	196
831	969	195
832	969	194
833	970	193
834	971	191
835	972	190
836	972	189
837	973	188
838	975	187
839	976	186
840	977	184
841	978	183
842	979	182
843	980	181
844	980	179
845	981	178
846	982	177
847	983	176
848	984	175
849	985	173
850	985	172
851	986	171
852	987	170
853	987	168
854	989	167
855	990	166
856	992	165
857	993	164
858	993	163
859	994	161
860	995	160
861	996	159
862	997	158
863	997	157
864	998	155
865	999	154
866	999	153
867	1000	152
868	1001	150
869	1002	149
870	1002	148
871	1004	147
872	1005	146
873	1007	145
874	1007	143
875	1009	142
876	1010	141
877	1010	140
878	1011	139
879	1012	138
880	1013	136
881	1014	135
882	1015	134
883	1017	133
884	1018	132
885	1019	131
886	1020	130
887	1022	128
888	1022	127
889	1023	126
890	1025	125
891	1026	124
892	1027	123
893	1028	121
894	1029	120
895	1030	119
896	1030	118
897	1031	117
898	1032	115
899	1033	114
900	1035	113
901	1036	112
902	1037	111
903	1039	110
